URN,P8MEA,P8MEA_FSM6CLA1A
108065,0.38,0.07
137771,0.37,0.07
134042,0.34,0.07
136329,0.34,0.07
137903,0.34,0.07
136309,0.31,0.07
136898,0.28,0.07
102157,0.23,0.07
123570,0.23,0.07
138187,0.2,0.07
100050,0.18,0.07
134224,0.15,0.07
139842,0.15,0.07
136618,0.14,0.07
140204,0.04,0.07
131310,0.38,0.06
100741,0.33,0.06
136396,0.33,0.06
116469,0.31,0.06
121212,0.3,0.06
138108,0.3,0.06
137634,0.29,0.06
135317,0.25,0.06
134996,0.23,0.06
136840,0.16,0.06
135073,0.15,0.06
100849,0.14,0.06
111451,0.12,0.06
129645,0.11,0.06
105103,0.05,0.06
135296,0.04,0.06
137117,-0.04,0.06
126064,0.54,0.05
141328,0.45,0.05
135877,0.44,0.05
114611,0.3,0.05
118082,0.3,0.05
136827,0.29,0.05
118840,0.28,0.05
126080,0.28,0.05
121168,0.27,0.05
136451,0.27,0.05
136454,0.12,0.05
103509,0.06,0.05
105837,0.03,0.05
102243,0.48,0.04
136834,0.42,0.04
136531,0.39,0.04
110048,0.34,0.04
137913,0.33,0.04
100054,0.31,0.04
137263,0.29,0.04
136291,0.27,0.04
136878,0.26,0.04
138075,0.23,0.04
136584,0.2,0.04
131747,0.19,0.04
137919,0.19,0.04
135963,0.18,0.04
100965,0.17,0.04
140304,0.14,0.04
110047,0.13,0.04
135951,0.1,0.04
137172,0.04,0.04
140470,0.01,0.04
109690,-0.01,0.04
137604,0.39,0.03
136458,0.38,0.03
137523,0.32,0.03
136094,0.31,0.03
102153,0.3,0.03
135962,0.29,0.03
139109,0.27,0.03
139154,0.27,0.03
100627,0.26,0.03
137427,0.26,0.03
136271,0.23,0.03
121695,0.21,0.03
137994,0.21,0.03
136495,0.19,0.03
100055,0.16,0.03
141214,0.16,0.03
141617,0.14,0.03
136156,0.11,0.03
140326,0.11,0.03
140886,-0.1,0.03
137736,0.42,0.02
136498,0.38,0.02
137044,0.37,0.02
137028,0.35,0.02
136976,0.27,0.02
139682,0.27,0.02
141264,0.25,0.02
116436,0.23,0.02
137852,0.23,0.02
138685,0.18,0.02
103101,0.15,0.02
131969,0.14,0.02
136145,0,0.02
136944,0,0.02
140987,-0.09,0.02
104721,-0.12,0.02
114612,0.56,0.01
121689,0.55,0.01
137006,0.5,0.01
137243,0.47,0.01
137928,0.44,0.01
139376,0.44,0.01
137935,0.4,0.01
135581,0.33,0.01
136776,0.32,0.01
119719,0.31,0.01
137129,0.29,0.01
136333,0.27,0.01
140461,0.27,0.01
136832,0.26,0.01
108736,0.21,0.01
138691,0.21,0.01
135654,0.08,0.01
135584,0.06,0.01
103538,0.01,0.01
136586,0.41,0
113553,0.37,0
136845,0.37,0
136361,0.36,0
137272,0.28,0
103497,0.27,0
135651,0.27,0
137595,0.25,0
102858,0.24,0
136736,0.22,0
137564,0.17,0
119753,0.16,0
137088,0.14,0
136568,0.13,0
137558,0.12,0
137464,0.06,0
138041,0.02,0
100624,-0.01,0
138069,0.48,-0.01
136554,0.47,-0.01
135619,0.46,-0.01
136644,0.45,-0.01
102156,0.41,-0.01
137239,0.31,-0.01
136381,0.29,-0.01
137134,0.26,-0.01
138728,0.26,-0.01
136632,0.21,-0.01
137695,0.2,-0.01
141331,0.16,-0.01
137801,0.15,-0.01
135663,0.11,-0.01
112961,0.1,-0.01
